iter	Passed	Remaining
0	7	11202
1	13	10388
2	20	10113
3	34	12928
4	39	11751
5	45	11362
6	51	11064
7	58	10864
8	64	10666
9	76	11411
10	82	11227
11	89	11045
12	95	10913
13	101	10803
14	122	12127
15	128	11951
16	134	11768
17	141	11622
18	147	11495
19	162	12061
20	169	11926
21	175	11812
22	182	11698
23	196	12072
24	202	11957
25	208	11847
26	215	11732
27	221	11642
28	242	12299
29	246	12068
30	252	11975
31	261	11990
32	267	11897
33	273	11807
34	280	11727
35	299	12199
36	321	12724
37	327	12611
38	334	12513
39	340	12421
40	346	12331
41	353	12277
42	367	12441
43	373	12358
44	379	12277
45	385	12191
46	391	12116
47	407	12335
48	415	12291
49	421	12219
50	427	12149
51	433	12082
52	451	12334
53	458	12270
54	464	12204
55	470	12132
56	476	12068
57	487	12109
58	509	12434
59	515	12374
60	521	12308
61	527	12242
62	535	12214
63	541	12154
64	548	12099
65	554	12047
66	560	11994
67	595	12530
68	601	12469
69	607	12411
70	613	12355
71	620	12301
72	630	12330
73	637	12275
74	647	12304
75	653	12248
76	660	12198
77	664	12116
78	670	12065
79	679	12058
80	685	12010
81	692	11966
82	695	11877
83	702	11834
84	708	11791
85	714	11750
86	729	11846
87	735	11804
88	741	11761
89	754	11821
90	771	11945
91	778	11907
92	784	11862
93	790	11818
94	806	11930
95	812	11885
96	818	11842
97	824	11800
98	831	11760
99	836	11714
100	865	11989
101	871	11951
102	878	11909
103	884	11868
104	890	11827
105	909	11957
106	915	11916
107	921	11875
108	927	11839
109	933	11801
110	943	11804
111	949	11771
112	956	11735
113	962	11698
114	968	11660
115	985	11753
116	991	11722
117	998	11689
118	1004	11652
119	1010	11616
120	1041	11866
121	1047	11828
122	1053	11790
123	1059	11751
124	1065	11717
125	1082	11803
126	1088	11768
127	1094	11732
128	1100	11697
129	1106	11661
130	1134	11857
131	1141	11826
132	1147	11792
133	1153	11760
134	1159	11727
135	1171	11744
136	1177	11712
137	1183	11677
138	1190	11654
139	1203	11687
140	1209	11653
141	1215	11619
142	1230	11673
143	1236	11643
144	1242	11614
145	1269	11776
146	1275	11743
147	1282	11712
148	1287	11669
149	1293	11637
150	1316	11760
151	1322	11728
152	1328	11697
153	1334	11665
154	1340	11635
155	1359	11716
156	1366	11685
157	1372	11655
158	1378	11625
159	1384	11594
160	1417	11791
161	1424	11763
162	1430	11733
163	1440	11732
164	1446	11700
165	1452	11672
166	1489	11885
167	1495	11855
168	1501	11823
169	1507	11792
170	1513	11763
171	1534	11844
172	1539	11812
173	1546	11781
174	1552	11751
175	1561	11746
176	1593	11913
177	1599	11882
178	1606	11854
179	1612	11825
180	1618	11794
181	1631	11817
182	1638	11790
183	1644	11761
184	1650	11731
185	1659	11722
186	1690	11872
187	1696	11841
188	1699	11788
189	1705	11759
190	1712	11733
191	1718	11704
192	1736	11759
193	1742	11730
194	1756	11754
195	1780	11843
196	1785	11806
197	1821	11977
198	1827	11946
199	1833	11916
200	1839	11888
201	1845	11858
202	1868	11936
203	1874	11907
204	1882	11893
205	1888	11864
206	1894	11836
207	1898	11794
208	1923	11880
209	1929	11851
210	1935	11822
211	1941	11794
212	1947	11765
213	1963	11797
214	1969	11768
215	1975	11741
216	1981	11713
217	1987	11685
218	1996	11676
219	2002	11649
220	2008	11623
221	2014	11598
222	2020	11572
223	2044	11644
224	2046	11594
225	2055	11588
226	2060	11553
227	2065	11525
228	2083	11566
229	2105	11625
230	2156	11847
231	2160	11809
232	2178	11843
233	2214	11982
234	2273	12236
235	2282	12223
236	2317	12351
237	2328	12346
238	2343	12363
239	2351	12344
240	2357	12316
241	2362	12282
242	2368	12250
243	2374	12222
244	2380	12192
245	2386	12164
246	2393	12142
247	2398	12111
248	2404	12079
249	2408	12043
250	2418	12032
251	2423	12003
252	2428	11969
253	2433	11937
254	2438	11905
255	2442	11869
256	2447	11836
257	2452	11806
258	2456	11771
259	2461	11741
260	2466	11707
261	2474	11691
262	2478	11659
263	2483	11626
264	2488	11596
265	2492	11563
266	2497	11533
267	2502	11503
268	2507	11473
269	2512	11444
270	2517	11416
271	2522	11389
272	2527	11360
273	2533	11334
274	2538	11307
275	2544	11282
276	2549	11256
277	2554	11228
278	2560	11204
279	2565	11177
280	2570	11152
281	2575	11125
282	2580	11097
283	2586	11075
284	2592	11051
285	2598	11029
286	2604	11008
287	2610	10983
288	2612	10947
289	2618	10923
290	2622	10896
291	2627	10870
292	2632	10844
293	2637	10818
294	2642	10793
295	2647	10768
296	2652	10743
297	2657	10719
298	2662	10695
299	2667	10671
300	2672	10646
301	2678	10623
302	2682	10598
303	2688	10575
304	2694	10558
305	2699	10533
306	2704	10507
307	2708	10483
308	2713	10460
309	2718	10433
310	2723	10411
311	2729	10391
312	2735	10373
313	2740	10349
314	2744	10324
315	2749	10300
316	2753	10275
317	2757	10250
318	2762	10228
319	2767	10205
320	2772	10182
321	2777	10161
322	2785	10150
323	2790	10126
324	2795	10106
325	2799	10080
326	2803	10057
327	2808	10036
328	2813	10013
329	2818	9992
330	2823	9973
331	2830	9957
332	2835	9937
333	2840	9916
