iter	Passed	Remaining
334	2845	9896
335	2850	9873
336	2855	9853
337	2859	9832
338	2864	9809
339	2872	9800
340	2877	9778
341	2881	9757
342	2886	9736
343	2891	9716
344	2896	9696
345	2901	9675
346	2905	9653
347	2910	9634
348	2915	9614
349	2919	9593
350	2924	9572
351	2929	9553
352	2934	9535
353	2938	9513
354	2943	9493
355	2947	9472
356	2952	9452
357	2956	9432
358	2961	9411
359	2965	9389
360	2969	9370
361	2974	9350
362	2979	9331
363	2983	9311
364	2988	9293
365	2993	9274
366	2998	9257
367	3004	9241
368	3009	9223
369	3014	9205
370	3018	9186
371	3023	9169
372	3028	9151
373	3034	9135
374	3039	9117
375	3045	9105
376	3050	9086
377	3054	9066
378	3058	9046
379	3062	9027
380	3067	9008
381	3070	8987
382	3074	8967
383	3079	8949
384	3083	8930
385	3088	8912
386	3092	8892
387	3097	8876
388	3101	8858
389	3105	8839
390	3111	8824
391	3115	8806
392	3120	8789
393	3126	8775
394	3130	8756
395	3135	8740
396	3139	8722
397	3145	8708
398	3149	8690
399	3154	8674
400	3159	8657
401	3164	8643
402	3169	8628
403	3174	8612
404	3178	8594
405	3183	8578
406	3188	8562
407	3192	8545
408	3196	8527
409	3201	8511
410	3206	8494
411	3210	8478
412	3215	8464
413	3220	8448
414	3224	8430
415	3228	8413
416	3233	8396
417	3237	8380
418	3242	8364
419	3247	8349
420	3251	8334
421	3256	8318
422	3260	8302
423	3265	8286
424	3270	8271
425	3275	8257
426	3280	8244
427	3285	8228
428	3290	8214
429	3294	8198
430	3298	8182
431	3302	8165
432	3307	8151
433	3311	8134
434	3316	8119
435	3320	8104
436	3324	8087
437	3328	8071
438	3332	8054
439	3337	8039
440	3341	8023
441	3345	8007
442	3349	7991
443	3353	7976
444	3357	7960
445	3362	7945
446	3365	7928
447	3369	7912
448	3373	7896
449	3377	7879
450	3381	7864
451	3385	7848
452	3389	7833
453	3393	7818
454	3396	7801
455	3400	7785
456	3404	7769
457	3407	7753
458	3412	7739
459	3417	7726
460	3421	7711
461	3425	7695
462	3429	7680
463	3433	7665
464	3436	7649
465	3440	7634
466	3444	7619
467	3448	7604
468	3452	7590
469	3456	7575
470	3460	7560
471	3464	7545
472	3468	7530
473	3472	7516
474	3476	7501
475	3480	7488
476	3484	7473
477	3489	7460
478	3492	7444
479	3496	7430
480	3500	7415
481	3504	7400
482	3508	7386
483	3512	7372
484	3515	7357
485	3519	7343
486	3523	7328
487	3526	7314
488	3530	7300
489	3535	7287
490	3539	7272
491	3543	7258
492	3547	7245
493	3551	7231
494	3555	7218
495	3559	7204
496	3563	7190
497	3567	7177
498	3571	7164
499	3574	7149
500	3578	7135
501	3582	7121
502	3586	7108
503	3590	7094
504	3593	7080
505	3597	7067
506	3601	7054
507	3605	7040
508	3609	7027
509	3613	7014
510	3617	7000
511	3621	6987
512	3624	6974
513	3629	6961
514	3632	6948
515	3636	6935
516	3640	6922
517	3645	6910
518	3648	6897
519	3652	6884
520	3656	6870
521	3660	6858
522	3664	6845
523	3668	6832
524	3671	6818
525	3675	6805
526	3679	6792
527	3682	6779
528	3686	6766
529	3690	6754
530	3694	6741
531	3698	6728
532	3701	6715
533	3705	6702
534	3709	6690
535	3713	6677
536	3717	6665
537	3720	6653
538	3724	6641
539	3728	6628
540	3732	6616
541	3737	6605
542	3740	6592
543	3744	6580
544	3748	6568
545	3752	6556
546	3756	6544
547	3760	6532
548	3763	6519
549	3768	6508
550	3772	6496
551	3775	6484
552	3779	6472
553	3783	6460
554	3787	6449
555	3791	6437
556	3795	6424
557	3799	6413
558	3803	6402
559	3806	6389
560	3810	6378
561	3814	6366
562	3818	6354
563	3822	6343
564	3825	6331
565	3830	6321
566	3833	6308
567	3837	6296
568	3840	6284
569	3845	6273
570	3849	6262
571	3853	6251
572	3857	6239
573	3860	6228
574	3864	6217
575	3868	6205
576	3871	6193
577	3875	6182
578	3879	6171
579	3883	6160
580	3887	6148
581	3890	6137
582	3895	6126
583	3899	6115
584	3903	6105
585	3906	6093
586	3910	6082
587	3914	6071
588	3918	6060
589	3922	6049
590	3926	6038
591	3929	6027
592	3933	6016
593	3937	6005
594	3941	5995
595	3945	5984
596	3949	5974
597	3953	5963
598	3957	5953
599	3961	5941
600	3965	5931
601	3969	5921
602	3973	5911
603	3977	5900
604	3981	5889
605	3984	5878
606	3989	5868
607	3992	5858
608	3996	5847
609	4000	5836
610	4004	5826
611	4008	5815
612	4011	5804
613	4015	5794
614	4019	5784
615	4023	5774
616	4027	5764
617	4031	5753
618	4035	5744
619	4039	5733
620	4043	5723
621	4047	5713
622	4051	5703
623	4056	5694
624	4059	5683
625	4063	5673
626	4067	5663
627	4071	5653
628	4075	5642
629	4078	5632
630	4082	5622
631	4086	5612
632	4090	5602
633	4094	5592
634	4098	5582
635	4102	5572
636	4106	5563
637	4110	5553
638	4114	5543
639	4118	5533
640	4122	5524
641	4126	5514
642	4130	5505
643	4134	5496
644	4138	5486
645	4142	5476
646	4146	5467
647	4150	5457
648	4154	5447
649	4158	5437
650	4162	5428
651	4166	5418
652	4170	5409
653	4174	5399
654	4178	5390
655	4181	5380
656	4186	5371
657	4189	5361
658	4193	5351
659	4197	5342
660	4201	5332
661	4205	5323
662	4208	5313
663	4212	5304
664	4216	5294
665	4220	5285
666	4224	5275
667	4228	5266
668	4232	5257
669	4236	5248
670	4240	5239
671	4244	5230
672	4248	5221
673	4252	5211
674	4256	5202
675	4260	5193
676	4265	5185
677	4269	5175
678	4272	5166
679	4276	5157
680	4280	5147
681	4284	5138
682	4288	5129
683	4292	5120
684	4296	5111
685	4299	5102
686	4304	5093
687	4307	5084
688	4311	5075
689	4315	5065
690	4319	5057
691	4323	5047
692	4326	5038
693	4331	5030
694	4334	5020
695	4338	5011
696	4342	5002
697	4346	4993
698	4350	4984
699	4354	4976
700	4357	4967
701	4362	4958
702	4366	4950
703	4370	4941
704	4373	4932
705	4377	4923
706	4382	4915
707	4386	4906
708	4390	4897
709	4394	4889
710	4397	4880
711	4401	4871
712	4406	4863
713	4410	4855
714	4413	4846
715	4417	4836
716	4421	4828
717	4425	4820
718	4429	4811
719	4432	4802
720	4436	4793
721	4440	4784
722	4443	4775
723	4447	4766
724	4451	4758
725	4454	4749
726	4458	4740
727	4462	4731
728	4465	4722
729	4469	4714
730	4473	4706
731	4477	4697
732	4480	4688
733	4484	4679
734	4487	4671
735	4491	4662
736	4495	4654
737	4499	4645
738	4503	4637
739	4507	4629
740	4511	4621
741	4515	4612
742	4519	4604
743	4523	4596
744	4526	4587
745	4530	4579
746	4534	4571
747	4538	4563
748	4542	4554
749	4546	4546
750	4550	4538
751	4554	4530
752	4558	4521
753	4562	4513
754	4565	4505
755	4569	4497
756	4573	4489
757	4577	4481
758	4581	4473
759	4585	4464
760	4589	4456
761	4593	4448
762	4596	4440
763	4600	4432
764	4604	4424
765	4608	4416
766	4612	4407
767	4616	4399
768	4620	4391
769	4624	4384
770	4628	4376
771	4632	4368
772	4635	4359
773	4640	4352
774	4644	4344
775	4648	4336
776	4652	4329
777	4656	4321
778	4659	4312
779	4663	4304
780	4667	4296
781	4671	4289
782	4676	4282
783	4680	4274
784	4684	4266
785	4688	4258
786	4692	4251
787	4696	4243
788	4700	4236
789	4704	4228
790	4708	4220
791	4712	4213
792	4717	4205
793	4721	4198
794	4724	4189
795	4728	4181
796	4732	4174
797	4736	4166
798	4740	4159
799	4744	4151
800	4749	4144
801	4753	4136
802	4757	4129
803	4760	4121
804	4765	4113
805	4768	4105
806	4772	4098
807	4776	4090
808	4781	4083
809	4784	4075
810	4788	4068
811	4792	4060
812	4796	4052
813	4799	4045
814	4803	4037
815	4807	4029
816	4811	4022
817	4815	4014
818	4819	4007
819	4823	3999
820	4826	3991
821	4830	3984
822	4834	3976
823	4838	3969
824	4842	3961
825	4846	3954
826	4849	3946
827	4853	3939
828	4857	3931
829	4861	3924
830	4865	3916
831	4869	3909
832	4873	3902
833	4877	3895
834	4881	3887
835	4884	3879
836	4888	3872
837	4892	3864
838	4896	3857
839	4900	3850
840	4904	3842
841	4908	3835
842	4912	3828
843	4917	3821
844	4920	3814
845	4924	3807
846	4928	3799
847	4932	3792
848	4935	3784
849	4939	3777
850	4943	3770
851	4947	3762
852	4951	3755
853	4954	3748
854	4959	3741
855	4962	3733
856	4966	3726
857	4970	3719
858	4975	3712
859	4979	3705
860	4982	3697
861	4986	3690
862	4990	3683
863	4994	3676
864	4998	3669
865	5002	3662
866	5006	3654
867	5009	3647
868	5013	3640
869	5017	3633
870	5021	3626
871	5024	3618
872	5028	3611
873	5032	3604
874	5037	3597
875	5041	3590
876	5045	3583
877	5048	3576
878	5052	3569
879	5056	3562
880	5060	3555
881	5064	3548
882	5068	3541
883	5071	3534
884	5075	3527
885	5079	3520
886	5083	3513
887	5087	3506
888	5091	3499
889	5095	3492
890	5099	3485
891	5103	3478
892	5107	3471
893	5111	3464
894	5115	3457
895	5119	3451
896	5123	3444
897	5127	3437
898	5131	3430
899	5135	3423
900	5139	3416
901	5143	3410
902	5147	3403
903	5151	3396
904	5155	3389
905	5159	3382
906	5163	3375
907	5167	3369
908	5171	3362
909	5176	3355
910	5180	3349
911	5183	3342
912	5187	3335
913	5191	3328
914	5195	3321
915	5199	3315
916	5203	3308
917	5207	3301
918	5211	3294
919	5215	3288
920	5219	3281
921	5224	3275
922	5228	3268
923	5232	3261
924	5236	3255
925	5240	3248
926	5244	3241
927	5248	3234
928	5252	3228
929	5256	3221
930	5260	3214
931	5264	3208
932	5268	3201
933	5271	3194
934	5275	3188
935	5279	3181
936	5283	3174
937	5287	3167
938	5290	3160
939	5294	3154
940	5298	3147
941	5302	3141
942	5306	3134
943	5311	3128
944	5315	3121
945	5318	3114
946	5323	3108
947	5327	3101
948	5331	3095
949	5335	3088
950	5338	3082
951	5343	3075
952	5347	3069
953	5351	3062
954	5355	3056
955	5358	3049
956	5363	3042
957	5367	3036
958	5370	3029
959	5375	3023
960	5379	3017
961	5382	3010
962	5386	3003
963	5390	2997
964	5394	2990
965	5398	2984
966	5402	2977
967	5406	2971
968	5409	2964
969	5413	2957
970	5417	2951
971	5421	2945
972	5425	2938
973	5429	2931
974	5432	2925
975	5436	2918
976	5440	2912
977	5444	2905
978	5448	2899
979	5452	2893
980	5456	2886
981	5460	2880
982	5464	2874
983	5469	2867
984	5472	2861
985	5476	2855
986	5481	2848
987	5484	2842
988	5489	2836
989	5493	2829
990	5497	2823
991	5501	2817
992	5504	2810
993	5508	2804
994	5512	2797
995	5516	2791
996	5520	2785
997	5524	2778
998	5527	2772
999	5531	2765
1000	5535	2759
1001	5538	2752
1002	5542	2746
1003	5546	2740
1004	5550	2733
1005	5554	2727
1006	5557	2720
1007	5561	2714
1008	5565	2708
1009	5568	2701
1010	5572	2695
1011	5576	2689
1012	5580	2682
1013	5584	2676
1014	5588	2670
1015	5592	2664
1016	5596	2657
1017	5599	2651
1018	5603	2645
1019	5607	2638
1020	5611	2632
1021	5615	2626
1022	5619	2620
1023	5623	2613
1024	5627	2607
1025	5631	2601
1026	5635	2595
1027	5639	2589
1028	5643	2583
1029	5647	2576
1030	5651	2570
1031	5655	2564
1032	5659	2558
1033	5663	2552
1034	5667	2546
1035	5671	2540
1036	5675	2534
1037	5679	2528
1038	5683	2521
1039	5687	2515
1040	5691	2509
1041	5695	2503
1042	5699	2497
1043	5703	2491
1044	5707	2484
1045	5710	2478
1046	5715	2472
1047	5718	2466
1048	5723	2460
1049	5726	2454
1050	5730	2448
1051	5734	2442
1052	5738	2435
1053	5742	2429
1054	5746	2423
1055	5750	2417
1056	5754	2411
1057	5758	2405
1058	5762	2399
1059	5766	2393
1060	5770	2387
1061	5774	2381
1062	5778	2375
1063	5782	2369
1064	5786	2363
1065	5790	2357
1066	5793	2351
1067	5797	2345
1068	5801	2339
1069	5805	2333
1070	5809	2327
1071	5813	2321
1072	5817	2315
1073	5821	2309
1074	5825	2303
1075	5829	2297
1076	5833	2291
1077	5837	2285
1078	5840	2279
1079	5844	2273
1080	5848	2266
1081	5852	2260
1082	5856	2254
1083	5860	2249
1084	5864	2243
1085	5868	2237
1086	5872	2231
1087	5876	2225
1088	5879	2219
1089	5884	2213
1090	5887	2207
1091	5891	2201
1092	5895	2195
1093	5899	2189
1094	5903	2183
1095	5907	2177
1096	5911	2171
1097	5915	2165
1098	5918	2159
1099	5922	2153
1100	5926	2147
1101	5930	2141
1102	5934	2135
1103	5938	2130
1104	5942	2124
1105	5946	2118
1106	5950	2112
1107	5954	2106
1108	5958	2100
1109	5962	2094
1110	5966	2089
1111	5970	2083
1112	5973	2077
1113	5977	2071
1114	5980	2065
1115	5984	2059
1116	5987	2053
1117	5991	2047
1118	5994	2041
1119	5998	2035
1120	6001	2029
1121	6006	2023
1122	6010	2017
1123	6014	2011
1124	6019	2006
1125	6023	2000
1126	6027	1994
1127	6030	1988
1128	6034	1983
1129	6038	1977
1130	6042	1971
1131	6046	1965
1132	6050	1959
1133	6054	1954
1134	6058	1948
1135	6062	1942
1136	6066	1936
1137	6071	1931
1138	6075	1925
1139	6079	1919
1140	6083	1913
1141	6086	1908
1142	6090	1902
1143	6094	1896
1144	6098	1890
1145	6102	1884
1146	6106	1879
1147	6110	1873
1148	6114	1867
1149	6118	1862
1150	6122	1856
1151	6126	1850
1152	6130	1844
1153	6134	1839
1154	6138	1833
1155	6142	1827
1156	6145	1821
1157	6149	1816
1158	6153	1810
1159	6157	1804
1160	6160	1798
1161	6164	1793
1162	6169	1787
1163	6173	1782
1164	6177	1776
1165	6182	1770
1166	6186	1765
1167	6190	1759
1168	6194	1753
1169	6198	1748
1170	6202	1742
1171	6206	1736
1172	6209	1731
1173	6213	1725
1174	6217	1719
1175	6221	1714
1176	6225	1708
1177	6229	1702
1178	6233	1697
1179	6238	1691
1180	6242	1686
1181	6247	1680
1182	6252	1675
1183	6258	1670
1184	6263	1664
1185	6267	1659
1186	6271	1653
1187	6276	1648
1188	6280	1642
1189	6285	1637
1190	6289	1631
1191	6293	1626
1192	6298	1620
1193	6302	1615
1194	6305	1609
1195	6310	1603
1196	6313	1598
1197	6317	1592
1198	6321	1586
1199	6325	1581
1200	6329	1575
1201	6332	1570
1202	6336	1564
1203	6340	1558
1204	6344	1553
1205	6348	1547
1206	6352	1542
1207	6356	1536
1208	6360	1530
1209	6364	1525
1210	6368	1519
1211	6372	1514
1212	6376	1508
1213	6380	1503
1214	6384	1497
1215	6388	1492
1216	6392	1486
1217	6396	1480
1218	6400	1475
1219	6404	1469
1220	6408	1464
1221	6412	1458
1222	6415	1453
1223	6419	1447
1224	6423	1442
1225	6427	1436
1226	6431	1430
1227	6435	1425
1228	6438	1419
1229	6442	1414
1230	6446	1408
1231	6450	1403
1232	6453	1397
1233	6457	1391
1234	6461	1386
1235	6465	1380
1236	6468	1375
1237	6472	1369
1238	6476	1364
1239	6480	1358
1240	6483	1353
1241	6487	1347
1242	6491	1342
1243	6494	1336
1244	6498	1331
1245	6502	1325
1246	6506	1320
1247	6510	1314
1248	6514	1309
1249	6518	1303
1250	6521	1298
1251	6525	1292
1252	6529	1287
1253	6533	1281
1254	6537	1276
1255	6541	1270
1256	6545	1265
1257	6549	1259
1258	6553	1254
1259	6557	1248
1260	6560	1243
1261	6564	1238
1262	6568	1232
1263	6573	1227
1264	6577	1221
1265	6580	1216
1266	6584	1210
1267	6589	1205
1268	6593	1200
1269	6597	1194
1270	6601	1189
1271	6605	1183
1272	6609	1178
1273	6613	1173
1274	6617	1167
1275	6621	1162
1276	6625	1157
1277	6629	1151
1278	6634	1146
1279	6638	1140
1280	6642	1135
1281	6647	1130
1282	6651	1125
1283	6655	1119
1284	6659	1114
1285	6662	1108
1286	6666	1103
1287	6670	1097
1288	6675	1092
1289	6679	1087
1290	6683	1081
1291	6687	1076
1292	6690	1071
1293	6694	1065
1294	6698	1060
1295	6702	1055
1296	6707	1049
1297	6711	1044
1298	6715	1039
1299	6718	1033
1300	6722	1028
1301	6726	1022
1302	6730	1017
1303	6734	1012
1304	6737	1006
1305	6741	1001
1306	6745	996
1307	6749	990
1308	6753	985
1309	6757	980
1310	6760	974
1311	6764	969
1312	6768	964
1313	6774	958
1314	6777	953
1315	6781	948
1316	6785	942
1317	6789	937
1318	6793	932
1319	6796	926
1320	6800	921
1321	6804	916
1322	6807	910
1323	6811	905
1324	6815	900
1325	6819	894
1326	6823	889
1327	6827	884
1328	6830	878
1329	6834	873
1330	6837	868
1331	6841	862
1332	6845	857
1333	6848	852
1334	6852	846
1335	6855	841
1336	6858	836
1337	6863	830
1338	6866	825
1339	6870	820
1340	6873	815
1341	6877	809
1342	6880	804
1343	6884	799
1344	6888	793
1345	6891	788
1346	6895	783
1347	6899	778
1348	6903	772
1349	6906	767
1350	6910	762
1351	6914	756
1352	6917	751
1353	6921	746
1354	6924	741
1355	6928	735
1356	6931	730
1357	6935	725
1358	6939	720
1359	6943	714
1360	6947	709
1361	6950	704
1362	6954	699
1363	6958	693
1364	6962	688
1365	6965	683
1366	6969	678
1367	6973	672
1368	6976	667
1369	6979	662
1370	6983	657
1371	6986	651
1372	6989	646
1373	6992	641
1374	6995	635
1375	6999	630
1376	7002	625
1377	7005	620
1378	7008	614
1379	7012	609
1380	7015	604
1381	7018	599
1382	7021	593
1383	7024	588
1384	7027	583
1385	7030	578
1386	7035	573
1387	7039	568
1388	7042	562
1389	7045	557
1390	7048	552
1391	7052	547
1392	7056	542
1393	7059	536
1394	7062	531
1395	7065	526
1396	7068	521
1397	7072	515
1398	7075	510
1399	7078	505
1400	7081	500
1401	7084	495
1402	7087	489
1403	7090	484
1404	7093	479
1405	7096	474
1406	7099	469
1407	7102	464
1408	7105	458
1409	7108	453
1410	7114	448
1411	7118	443
1412	7123	438
1413	7126	433
1414	7129	428
1415	7133	423
1416	7136	418
1417	7139	412
1418	7142	407
1419	7145	402
1420	7149	397
1421	7151	392
1422	7154	387
1423	7158	382
1424	7161	376
1425	7164	371
1426	7168	366
1427	7171	361
1428	7174	356
1429	7177	351
1430	7180	346
1431	7183	341
1432	7186	335
1433	7190	330
1434	7193	325
1435	7196	320
1436	7199	315
1437	7202	310
1438	7205	305
1439	7208	300
1440	7211	295
1441	7214	290
1442	7217	285
1443	7220	280
1444	7224	274
1445	7227	269
1446	7230	264
1447	7233	259
1448	7236	254
1449	7240	249
1450	7243	244
1451	7246	239
1452	7249	234
1453	7253	229
1454	7256	224
1455	7259	219
1456	7262	214
1457	7265	209
1458	7268	204
1459	7272	199
1460	7275	194
1461	7278	189
1462	7282	184
1463	7285	179
1464	7288	174
1465	7292	169
1466	7295	164
1467	7298	159
1468	7301	154
1469	7305	149
1470	7308	144
1471	7311	139
1472	7314	134
1473	7317	129
1474	7321	124
1475	7324	119
1476	7327	114
1477	7330	109
1478	7333	104
1479	7336	99
1480	7339	94
1481	7342	89
1482	7345	84
1483	7348	79
1484	7351	74
1485	7354	69
1486	7357	64
1487	7360	59
1488	7363	54
1489	7367	49
1490	7370	44
1491	7373	39
1492	7376	34
1493	7379	29
1494	7382	24
1495	7385	19
1496	7388	14
1497	7391	9
1498	7394	4
1499	7398	0
