iter	RMSE
0	1700.615709
1	1683.093288
2	1665.484159
3	1648.176412
4	1632.042983
5	1615.678626
6	1599.768736
7	1585.023748
8	1570.444521
9	1556.108558
10	1542.695721
11	1528.79438
12	1516.994809
13	1504.634327
14	1492.211764
15	1480.23975
16	1468.303375
17	1456.224766
18	1444.39462
19	1433.429943
20	1422.929178
21	1412.537312
22	1403.256372
23	1393.928374
24	1384.143893
25	1374.878759
26	1365.673233
27	1356.869451
28	1348.368705
29	1341.031236
30	1333.142183
31	1325.322209
32	1318.156513
33	1311.254151
34	1303.877562
35	1297.561563
36	1290.842168
37	1284.420743
38	1278.276203
39	1271.965626
40	1266.302312
41	1260.395079
42	1254.40161
43	1248.689303
44	1243.277273
45	1238.077588
46	1233.296616
47	1228.562203
48	1223.893673
49	1219.832952
50	1215.500129
51	1211.270878
52	1207.258817
53	1203.552085
54	1199.787438
55	1196.253759
56	1192.65657	157	1189.00358	158	1185.902876
59	1183.36185
60	1180.114817
61	1176.978226
62	1173.881988
63	1170.979394
64	1168.095458
65	1165.345629
66	1162.942414
67	1160.301127
68	1157.689811
69	1155.335029
70	1153.142101
71	1150.916371
72	1148.586614
73	1146.205211
74	1143.996138
75	1142.061936
76	1140.114616
77	1138.462148
78	1136.995904
79	1135.089854
80	1133.618567
81	1132.102204
82	1130.740678
83	1129.0942
84	1127.540408
85	1126.08338
86	1124.569011
87	1122.933537
88	1121.357719
89	1119.870279
90	1118.847403
91	1117.578513
92	1116.3027
93	1114.971193
94	1113.856783
95	1112.850063
96	1111.989822
97	1110.824317
98	1109.917912
99	1109.191946
100	1108.352542
101	1107.522554
102	1106.5857
103	1105.537395
104	1104.730402
105	1103.768631
106	1102.985512
107	1102.285758
108	1101.471116
109	1100.809753
110	1100.057355
111	1099.365473
112	1098.721535
113	1098.018153
114	1097.314127
115	1096.611053
116	1095.95062
117	1095.321504
118	1094.737901
119	1094.183446
120	1093.673184
121	1093.095525
122	1092.580082
123	1091.973304
124	1091.457306
125	1090.939385
126	1090.466396
127	1089.997344
128	1089.530222
129	1089.171619
130	1088.680813
131	1088.155019
132	1087.721051
133	1087.204371
134	1086.842231
135	1086.356419
136	1085.896693
137	1085.459591
138	1085.025748
139	1084.691006
140	1084.383869
141	1083.932275
142	1083.534968
143	1083.104877
144	1082.72788
145	1082.520708
146	1082.304804
147	1081.992928
148	1081.858283
149	1081.623819
150	1081.339852
151	1081.053265
152	1080.721463
153	1080.45439
154	1080.077037
155	1079.795306
156	1079.577835
157	1079.358812
158	1079.174346
159	1078.809926
160	1078.530457
161	1078.229145
162	1078.053786
163	1077.993726
164	1077.793302
165	1077.559707
166	1077.212695
167	1077.020419
168	1076.802761
169	1076.560555
170	1076.265915
171	1076.148848
172	1075.97815
173	1075.712106
174	1075.549058
175	1075.295152
176	1075.009271
177	1074.75631
178	1074.411427
179	1074.181974
180	1073.968639
181	1073.67179
182	1073.407316
183	1073.229957
184	1073.035497
185	1072.843581
186	1072.655879
187	1072.458337
188	1072.390964
189	1072.179352
190	1072.016819
191	1071.817373
192	1071.612547
193	1071.496516
194	1071.257361
195	1070.898858
196	1070.665998
197	1070.446938
198	1070.19041
199	1069.999319
200	1069.860693
201	1069.601972
202	1069.462033
203	1069.397243
204	1069.210995
